Estimate ID,Estimate #,Close Date,Status,Division,Price,Hours,Price/Hour
EST3253896,EST3253896,2025-09-28T00:00:00+00:00,won,LE Maintenance (Summer/Winter),9785,5,1957.00
EST5450944,EST5450944,2025-06-01T00:00:00+00:00,won,LE Irrigation,125,0,
EST3260588,EST3260588,2025-09-23T00:00:00+00:00,won,LE Maintenance (Summer/Winter),49600,72,688.89
EST3259037,EST3259037,2025-09-24T00:00:00+00:00,won,LE Maintenance (Summer/Winter),34855,15,2323.67
EST5417650,EST5417650,2025-05-25T00:00:00+00:00,won,LE Irrigation,650,0,
EST4924236,EST4924236,2025-04-25T00:00:00+00:00,won,LE Paving,22952.7,39,588.53
EST5673984,EST5673984,2025-09-01T00:00:00+00:00,won,LE Tree Care,751.99,5,150.40
EST3258967,EST3258967,2025-10-19T00:00:00+00:00,won,LE Maintenance (Summer/Winter),31545,72,438.13
EST4851791,EST4851791,2025-05-14T00:00:00+00:00,won,LE Tree Care,1041.12,7,148.73
EST3253077,EST3253077,2025-10-05T00:00:00+00:00,won,LE Maintenance (Summer/Winter),4011,5,802.20
EST5453025,EST5453025,2025-06-12T00:00:00+00:00,won,LE Irrigation,976.14,10,97.61
EST3260356,EST3260356,2025-10-01T00:00:00+00:00,won,LE Maintenance (Summer/Winter),29189.99,72,405.42
EST5706225,EST5706225,2025-09-07T00:00:00+00:00,won,LE Irrigation,120,0,
EST3190284,EST3190284,2025-06-30T00:00:00+00:00,won,LE Maintenance (Summer/Winter),15049.91,105,143.33
EST5488582,EST5488582,2025-06-12T00:00:00+00:00,won,LE Irrigation,1612.85,10,161.28
EST5706309,EST5706309,2025-09-07T00:00:00+00:00,won,LE Irrigation,500,0,
EST5450892,EST5450892,2025-06-09T00:00:00+00:00,won,LE Tree Care,562.48,4,140.62
EST3268905,EST3268905,2025-09-01T00:00:00+00:00,won,LE Maintenance (Summer/Winter),51025,72,708.68
EST5690629,EST5690629,2025-09-01T00:00:00+00:00,won,LE Tree Care,892.6,6,148.77
EST5378939,EST5378939,2025-07-08T00:00:00+00:00,won,LE Paving,14094.53,36,391.51
EST5451423,EST5451423,2025-06-01T00:00:00+00:00,won,LE Irrigation,200,0,
EST4875856,EST4875856,2025-09-07T00:00:00+00:00,won,LE Paving,5311.47,15,354.10
EST5851132,EST5851132,2025-11-05T00:00:00+00:00,won,Line Painting,500,0,
EST5274604,EST5274604,2025-04-14T00:00:00+00:00,won,LE Tree Care,914.91,6,152.48
EST5721976,EST5721976,2025-09-28T00:00:00+00:00,won,LE Irrigation,160,0,
EST5727416,EST5727416,2025-09-17T00:00:00+00:00,won,LE Tree Care,1876.97,13,144.38
EST5431995,EST5431995,2025-05-25T00:00:00+00:00,won,LE Irrigation,3252.37,18,180.69
EST3024115,EST3024115,2025-03-11T00:00:00+00:00,won,LE Maintenance (Summer/Winter),46784.84,105,445.57
EST5727123,EST5727123,2025-10-26T00:00:00+00:00,won,LE Tree Care,2512.75,17,147.81
EST5451646,EST5451646,2025-06-01T00:00:00+00:00,won,LE Irrigation,200,0,
EST3024048,EST3024048,2025-03-11T00:00:00+00:00,won,LE Maintenance (Summer/Winter),50590.99,105,481.82
EST5451364,EST5451364,2025-06-01T00:00:00+00:00,won,LE Irrigation,499,0,
EST5451661,EST5451661,2025-06-01T00:00:00+00:00,won,LE Irrigation,200,0,
EST5380849,EST5380849,2025-06-12T00:00:00+00:00,won,LE Landscapes,3393.42,13,261.03
EST3052960,EST3052960,2025-03-24T00:00:00+00:00,won,LE Maintenance (Summer/Winter),22923.51,0,
EST3307570,EST3307570,2025-09-23T00:00:00+00:00,won,LE Maintenance (Summer/Winter),14235,15,949.00
EST5453295,EST5453295,2025-09-14T00:00:00+00:00,won,LE Tree Care,1384.77,9.5,145.77
EST5453139,EST5453139,2025-09-14T00:00:00+00:00,won,LE Tree Care,5505.45,37.5,146.81
EST5476210,EST5476210,2025-06-10T00:00:00+00:00,won,LE Tree Care,814.92,8,101.86
EST5763559,EST5763559,2025-09-29T00:00:00+00:00,won,LE Irrigation,150,0,
EST5718436,EST5718436,2025-10-19T00:00:00+00:00,won,LE Maintenance Enchancements,1400.79,6,233.47
EST5514565,EST5514565,2025-07-03T00:00:00+00:00,won,LE Landscapes,20956.84,64,327.45
EST5540516,EST5540516,2025-07-22T00:00:00+00:00,won,LE Maintenance Enchancements,1755.53,6,292.59
EST5764767,EST5764767,2025-10-01T00:00:00+00:00,won,LE Tree Care,1433.24,7,204.75
EST5764478,EST5764478,2025-10-20T00:00:00+00:00,won,LE Irrigation,300,0,
EST5755851,EST5755851,2025-09-28T00:00:00+00:00,won,LE Irrigation,160,0,
EST3207301,EST3207301,2025-09-29T00:00:00+00:00,won,LE Maintenance (Summer/Winter),21586.8,105,205.59
EST5640870,EST5640870,2025-08-12T00:00:00+00:00,won,LE Irrigation,1192.61,12,99.38
EST5423503,EST5423503,2025-06-12T00:00:00+00:00,won,LE Landscapes,1806.5,10,180.65
EST5764806,EST5764806,2025-09-29T00:00:00+00:00,won,LE Tree Care,2205.96,14,157.57
EST5764806,EST5764806,2025-09-29T00:00:00+00:00,won,LE Tree Care,2205.96,14,157.57
EST5517319,EST5517319,2025-07-06T00:00:00+00:00,won,LE Irrigation,5250.17,30,175.01
EST5770922,EST5770922,2025-10-07T00:00:00+00:00,won,LE Paving,6394.31,32,199.82
EST5775300,EST5775300,2025-10-07T00:00:00+00:00,won,LE Tree Care,446.31,3,148.77
EST5359859,EST5359859,2025-09-22T00:00:00+00:00,won,LE Paving,25413.86,80,317.67
EST5392652,EST5392652,2025-05-25T00:00:00+00:00,won,LE Tree Care,1876.95,13,144.38
EST5596813,EST5596813,2025-07-27T00:00:00+00:00,won,LE Irrigation,1586.58,16,99.16
EST5793652,EST5793652,2025-10-09T00:00:00+00:00,won,LE Tree Care,399.99,2,200.00
EST5584389,EST5584389,2025-07-22T00:00:00+00:00,won,LE Landscapes,687.87,4,171.97
EST5532324,EST5532324,2025-06-30T00:00:00+00:00,won,LE Tree Care,281.24,2,140.62
EST5724767,EST5724767,2025-09-17T00:00:00+00:00,won,LE Tree Care,574.72,4,143.68
EST5812890,EST5812890,2025-10-19T00:00:00+00:00,won,LE Irrigation,200,0,
EST5800936,EST5800936,2025-10-13T00:00:00+00:00,won,LE Paving,1860,1,1860.00
EST5457192,EST5457192,2025-06-09T00:00:00+00:00,won,LE Tree Care,406.01,3,135.34
EST5385842,EST5385842,2025-05-08T00:00:00+00:00,won,LE Paving,3888.89,0,
EST3061863,EST3061863,2025-03-26T00:00:00+00:00,won,LE Maintenance (Summer/Winter),17331,0,
EST5597227,EST5597227,2025-07-27T00:00:00+00:00,won,LE Irrigation,150,0,
EST5740010,EST5740010,2025-09-18T00:00:00+00:00,won,LE Irrigation,787.67,8,98.46
EST5458811,EST5458811,2025-06-15T00:00:00+00:00,won,LE Irrigation,3176.34,30,105.88
EST5391011,EST5391011,2025-06-01T00:00:00+00:00,won,LE Irrigation,5002.39,17,294.26
EST5800099,EST5800099,2025-10-23T00:00:00+00:00,won,LE Tree Care,399.99,3,133.33
EST3138995,EST3138995,2025-05-08T00:00:00+00:00,won,LE Maintenance (Summer/Winter),1334.96,0,
EST5422083,EST5422083,2025-05-21T00:00:00+00:00,won,LE Maintenance Enchancements,492.77,6,82.13
EST5519825,EST5519825,2025-10-13T00:00:00+00:00,won,LE Maintenance (Summer/Winter),196.18,1,196.18
EST5519884,EST5519884,2025-07-17T00:00:00+00:00,won,LE Maintenance Enchancements,404.07,6,67.34
EST3020916,EST3020916,2025-03-10T00:00:00+00:00,won,LE Maintenance (Summer/Winter),2533.84,0,
EST3020940,EST3020940,2025-03-11T00:00:00+00:00,won,LE Maintenance (Summer/Winter),4795.91,0,
EST3020854,EST3020854,2025-03-10T00:00:00+00:00,won,LE Maintenance (Summer/Winter),8969.16,0,
EST3020927,EST3020927,2025-03-11T00:00:00+00:00,won,LE Maintenance (Summer/Winter),4212.76,0,
EST3020900,EST3020900,2025-03-10T00:00:00+00:00,won,LE Maintenance (Summer/Winter),2077.52,0,
EST5815189,EST5815189,2025-10-20T00:00:00+00:00,won,LE Irrigation,3676.58,26,141.41
EST5751743,EST5751743,2025-09-23T00:00:00+00:00,won,LE Irrigation,1422.94,9,158.10
EST5490600,EST5490600,2025-06-15T00:00:00+00:00,won,LE Irrigation,4636.53,30,154.55
EST5490404,EST5490404,2025-06-15T00:00:00+00:00,won,LE Irrigation,4593.7,30,153.12
EST5487511,EST5487511,2025-06-19T00:00:00+00:00,won,LE Irrigation,2550.54,24,106.27
EST5818449,EST5818449,2025-10-21T00:00:00+00:00,won,LE Irrigation,150,0,
EST5712440,EST5712440,2025-09-08T00:00:00+00:00,won,LE Landscapes,300,2,150.00
EST5818502,EST5818502,2025-10-21T00:00:00+00:00,won,LE Irrigation,150,0,
EST5818332,EST5818332,2025-10-21T00:00:00+00:00,won,LE Irrigation,150,0,
EST5026881,EST5026881,2025-10-29T00:00:00+00:00,won,LE Maintenance Enchancements,342.12,2.5,136.85
EST5576063,EST5576063,2025-07-17T00:00:00+00:00,won,LE Irrigation,4951.08,36,137.53
EST5818490,EST5818490,2025-10-21T00:00:00+00:00,won,LE Irrigation,118,0,
EST5742611,EST5742611,2025-09-30T00:00:00+00:00,won,LE Paving,22042,50,440.84
EST5823939,EST5823939,2025-10-23T00:00:00+00:00,won,LE Tree Care,400.02,3,133.34
EST5825259,EST5825259,2025-10-23T00:00:00+00:00,won,LE Tree Care,2249.92,16,140.62
EST5761178,EST5761178,2025-10-13T00:00:00+00:00,won,LE Tree Care,6866.24,32,214.57
EST5825141,EST5825141,2025-10-26T00:00:00+00:00,won,LE Tree Care,5374.98,24,223.96
EST5818325,EST5818325,2025-10-21T00:00:00+00:00,won,LE Irrigation,150,0,
EST5374966,EST5374966,2025-05-11T00:00:00+00:00,won,LE Tree Care,399.99,2,200.00
EST5389839,EST5389839,2025-06-09T00:00:00+00:00,won,LE Tree Care,731.84,4,182.96
EST5455058,EST5455058,2025-06-04T00:00:00+00:00,won,LE Tree Care,405.99,2,203.00
EST5668779,EST5668779,2025-09-02T00:00:00+00:00,won,LE Paving,17444.18,60,290.74
EST5833516,EST5833516,2025-10-28T00:00:00+00:00,won,LE Irrigation,277.78,0,
EST3327355,EST3327355,2025-10-05T00:00:00+00:00,won,LE Maintenance (Summer/Winter),58625,25,2345.00
EST5450438,EST5450438,2025-06-30T00:00:00+00:00,won,LE Tree Care,2884,20,144.20
EST3316376,EST3316376,2025-09-29T00:00:00+00:00,won,LE Maintenance (Summer/Winter),48245,72,670.07
EST3296380,EST3296380,2025-09-16T00:00:00+00:00,won,LE Maintenance (Summer/Winter),4675.6,0,
EST3262019,EST3262019,2025-09-25T00:00:00+00:00,won,LE Maintenance (Summer/Winter),13870,76,182.50
EST2910833,EST2910833,2025-01-22T00:00:00+00:00,won,LE Maintenance (Summer/Winter),16409,0,
EST5484550,EST5484550,2025-06-12T00:00:00+00:00,won,LE Maintenance Enchancements,162.87,1,162.87
EST5483866,EST5483866,2025-06-24T00:00:00+00:00,won,LE Landscapes,1130.27,6,188.38
EST3296338,EST3296338,2025-09-16T00:00:00+00:00,won,LE Maintenance (Summer/Winter),14368.48,200,71.84
EST5421905,EST5421905,2025-05-21T00:00:00+00:00,won,LE Landscapes,1497.39,8,187.17
EST5383535,EST5383535,2025-06-12T00:00:00+00:00,won,LE Landscapes,12513.05,60,208.55
EST5839272,EST5839272,2025-10-30T00:00:00+00:00,won,LE Irrigation,277.78,0,
EST5838748,EST5838748,2025-11-12T00:00:00+00:00,won,LE Paving,6970.93,0,
